LGA,Village,Gradient,Niche,Seasons,Replicates,Total
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Dry,Pt8,39
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Dry,Pt9,27
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Dry,Pt10,35
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Dry,Pt11,63
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Dry,Pt12,18
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Dry,Pt13,48
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Dry,Pt14,25
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Dry,Pt15,15
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Dry,Pt1,39
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Dry,Pt2,25
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Dry,Pt3,92
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Dry,Pt4,102
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Dry,Pt5,55
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Dry,Pt6,22
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Dry,Pt7,21
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Dry,Pt8,41
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Dry,Pt9,22
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Dry,Pt10,91
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Dry,Pt11,14
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Dry,Pt12,21
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Dry,Pt13,14
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Dry,Pt14,11
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Dry,Pt15,57
